file,t,load_time,search_time,add_time,update_time,search_after_update_time
small.dat,2,0.003864,0.000030,0.000384,0.000055,0.000044
small.dat,4,0.004913,0.000040,0.000281,0.000049,0.000041
small.dat,8,0.004949,0.000064,0.000344,0.000056,0.000048
small.dat,16,0.007261,0.000060,0.000328,0.000050,0.000044
medium.dat,2,1.601475,0.000028,0.000217,0.000030,0.000026
medium.dat,4,1.295197,0.000039,0.000227,0.000034,0.000031
medium.dat,8,1.820784,0.000047,0.000311,0.000045,0.000041
medium.dat,16,2.769343,0.000075,0.000459,0.000075,0.000062
large.dat,2,344.357414,0.002623,0.000511,0.000074,0.000072
large.dat,4,326.195499,0.000061,0.000450,0.000061,0.000057
large.dat,8,451.851824,0.000086,0.000773,0.000114,0.000120
large.dat,16,671.499069,0.003259,0.000837,0.000107,0.000101
